,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert,build_script,use_cmake,use_configure,note,Unnamed:,14
662,eduardlopez/quicksort-parallel,C,git,https://github.com/eduardlopez/quicksort-parallel.git,14,-1527617,d72db81b5b5859191deb584f133eca7f0c45f46e,,RS,autofail.sh,,,Autobuild,Fail,
8140,nasa/upsp-processing,C++,git,https://github.com/nasa/upsp-processing.git,14,3701985,85f944f6fc9ef0e0183efcdb05c25b8214af76db,,RS,default_cmake.sh,,FALSCH,Autobuild,Success,
4818,ICRAR/libprofit,C++,git,https://github.com/ICRAR/libprofit.git,14,-5458015,927228194c047644367a6a8ff8374df810239ba7,,RS,autofail.sh,,,Autobuild,Fail,
3694,LorenzoAgnolucci/MeanShiftClustering,C++,git,https://github.com/LorenzoAgnolucci/MeanShiftClustering.git,13,-8338015,d729a1b00d52e3b13a9b186f4bf41462298077a6,,RS,default_cmake.sh,,FALSCH,Autobuild,Success,
6090,PanPapag/Game-Of-Life,C,git,https://github.com/PanPapag/Game-Of-Life.git,13,-2588015,690a95b201e5d1f3a6452182f07f408d3bf61d72,,RS,default_make.sh,,FALSCH,Autobuild,Success,
7423,ROCm/OpenFOAM_HMM,C++,git,https://github.com/ROCm/OpenFOAM_HMM.git,12,5811985,b86b514e1b954986ed9a24b95ef8f61812c3197a,,RS,autofail.sh,,,Autobuild,Fail,
5199,Alexhaoge/FFT-MPI-OpenMP-CUDA,C++,git,https://github.com/Alexhaoge/FFT-MPI-OpenMP-CUDA.git,12,-6588015,5ad69cd5243fd0f01322d35d67a2ea905fb40452,,RS,autofail.sh,,,Autobuild,Fail,
7276,rubensamarojr/polymps,C++,git,https://github.com/rubensamarojr/polymps.git,12,6091985,e7c2ffa8669d0d88d18b114a250eb18860b60644,,RS,autofail.sh,,,Autobuild,Fail,
2179,LangdalP/EPCC-OpenMP-micro-benchmarks,C,git,https://github.com/LangdalP/EPCC-OpenMP-micro-benchmarks.git,11,26.03.7519,55148610b0050ac0124a2c7091b330b1536a5248,,RS,autofail.sh,,,Autobuild,Fail,
1366,varunsyal/Parallel-Convolutional-Networks,C++,git,https://github.com/varunsyal/Parallel-Convolutional-Networks.git,11,6042383,6c5f3e0b4c606fd479cc16e39370428bfd5a51b2,,RS,autofail.sh,,,Autobuild,Fail,
