,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
96,godspeed1989/omp_samples,C++,git,https://github.com/godspeed1989/omp_samples.git,1,9102781,,,
97,mantri/graph-solver,C,git,https://github.com/mantri/graph-solver.git,1,9082781,,,
98,akhilnambiar/MatrixMultiply,C,git,https://github.com/akhilnambiar/MatrixMultiply.git,0,9072781,,,
99,mantri/parallel_algorithms,C,git,https://github.com/mantri/parallel_algorithms.git,0,8942781,,,
100,shubhamsinha92/Matrix-Multiplication-Project,C,git,https://github.com/shubhamsinha92/Matrix-Multiplication-Project.git,0,8912781,,,
101,jbarber/omp-benchmarks,C,git,https://github.com/jbarber/omp-benchmarks.git,0,8912781,,,
102,Aforan/OpenMP,C,git,https://github.com/Aforan/OpenMP.git,0,8872781,,,
103,scriptkid85/OpenMPI-Kmeans,C,git,https://github.com/scriptkid85/OpenMPI-Kmeans.git,4,8862781,,,
104,nrdgnr/gcc-gsoc-taskscheduler,C,git,https://github.com/nrdgnr/gcc-gsoc-taskscheduler.git,0,8852781,,,
105,hpc/cce-mpi-openmpi-1.7.1,C,git,https://github.com/hpc/cce-mpi-openmpi-1.7.1.git,1,8812781,,,
106,PetcuAlexandru/OpenMP_parallelization,C++,git,https://github.com/PetcuAlexandru/OpenMP_parallelization.git,0,8802781,,,
107,GromHoll/Kat-8sem-PP-sum,C++,git,https://github.com/GromHoll/Kat-8sem-PP-sum.git,0,8792781,,,
108,niyasc/parallal-programming,C,git,https://github.com/niyasc/parallal-programming.git,1,8762781,,,
109,gtgbansal/openmp,C,git,https://github.com/gtgbansal/openmp.git,1,8722781,,,
110,matteson/openmp_mass_action,C,git,https://github.com/matteson/openmp_mass_action.git,0,8682781,,,
111,marius-avram/Tema-1-APD,C,git,https://github.com/marius-avram/Tema-1-APD.git,0,8622781,,,
112,JayTang/spm-openmp,C,git,https://github.com/JayTang/spm-openmp.git,0,8572781,,,
113,henderjm/Mandelbrot-OpenMP-SSE,C++,git,https://github.com/henderjm/Mandelbrot-OpenMP-SSE.git,0,8572781,,,
114,dramesh/BarrierSync,C,git,https://github.com/dramesh/BarrierSync.git,0,8572781,,,
115,skku-multicore-hw/Project1_gol_openmp,C,git,https://github.com/skku-multicore-hw/Project1_gol_openmp.git,0,8542781,,,
