,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
4326.0,HxnDev/OpenMP-Program-to-Print-Number-of-Threads,C++,git,https://github.com/HxnDev/OpenMP-Program-to-Print-Number-of-Threads.git,6.0,-3648015,,,
8021.0,kin4stat/sa-openmp,C++,git,https://github.com/kin4stat/sa-openmp.git,6.0,4201985,,,
7185.0,stefanomoriconi/libmpMuelMat,C,git,https://github.com/stefanomoriconi/libmpMuelMat.git,6.0,01.11.2945,,,
4208.0,ravibitsgoa/Parallelism-Intel-Arch-Assignments,C++,git,https://github.com/ravibitsgoa/Parallelism-Intel-Arch-Assignments.git,6.0,-10308015,,,
2213.0,gzimin/masters-work,C,git,https://github.com/gzimin/masters-work.git,6.0,-10328015,,,
4547.0,machadoprx/CoolConvNN,C,git,https://github.com/machadoprx/CoolConvNN.git,6.0,-4508015,,,
7289.0,openmpf/openmpf-components,C++,git,https://github.com/openmpf/openmpf-components.git,5.0,6151985,,,
1125.0,JacobMills/Parallel-Pattern-Matching,C,git,https://github.com/JacobMills/Parallel-Pattern-Matching.git,5.0,-7697617,,,
7400.0,AMSC22-23/LatticeBoltzmannMethod-Fonnesu-Grassi-Guffanti,C++,git,https://github.com/AMSC22-23/LatticeBoltzmannMethod-Fonnesu-Grassi-Guffanti.git,5.0,5851985,,,
2410.0,zhbink/OpenMP-Caculating-Pi,C,git,https://github.com/zhbink/OpenMP-Caculating-Pi.git,5.0,9992383,,,
579.0,mikoro/valo,C++,git,https://github.com/mikoro/valo.git,5.0,-647617,,,
7796.0,JSquar/cato,C++,git,https://github.com/JSquar/cato.git,5.0,4821985,,,
6767.0,codearxiv/SurfMeshSmooth,C++,git,https://github.com/codearxiv/SurfMeshSmooth.git,5.0,24.02.6724,,,
1738.0,hafeezali/Parallel-Decision-Tree-Classifier,C++,git,https://github.com/hafeezali/Parallel-Decision-Tree-Classifier.git,5.0,4452383,,,
7161.0,dssgabriel/lattice-boltzmann-method,C,git,https://github.com/dssgabriel/lattice-boltzmann-method.git,5.0,20.05.3274,,,
5694.0,Areesha-Tahir/Search-Number-Among-Slave-Processes-Using-MPI-openMP,C++,git,https://github.com/Areesha-Tahir/Search-Number-Among-Slave-Processes-Using-MPI-openMP.git,5.0,-1328015,,,
55.0,fpaboim/gpufem,C++,git,https://github.com/fpaboim/gpufem.git,5.0,10562781,,,
390.0,taeguk/dist-prog-assignment,C,git,https://github.com/taeguk/dist-prog-assignment.git,5.0,09.08.4151,,,
4218.0,astroboylrx/PLAN,C++,git,https://github.com/astroboylrx/PLAN.git,5.0,-3078015,,,
3173.0,RapidsAtHKUST/GraphReorderAndConverter,C++,git,https://github.com/RapidsAtHKUST/GraphReorderAndConverter.git,5.0,7152383,,,
3922.0,PanosAntoniadis/pps-ntua,C,git,https://github.com/PanosAntoniadis/pps-ntua.git,5.0,-9368015,,,
204.0,brNX/DES,C++,git,https://github.com/brNX/DES.git,5.0,-717219,,,
25.0,necst/DBSCAN,C++,git,https://github.com/necst/DBSCAN.git,5.0,-10217617,,,
5454.0,ramanakshay/Hash-Tree-Data-Backup,C++,git,https://github.com/ramanakshay/Hash-Tree-Data-Backup.git,4.0,-648015,,,
6481.0,sinkovit/OpenMP-examples,C,git,https://github.com/sinkovit/OpenMP-examples.git,4.0,06.04.9188,,,
4065.0,nexuslrf/Parallelizable_Particle_Collision_Simulation,C,git,https://github.com/nexuslrf/Parallelizable_Particle_Collision_Simulation.git,4.0,-9808015,,,
3627.0,avcourt/task-parallelism-omp,C,git,https://github.com/avcourt/task-parallelism-omp.git,4.0,-8178015,,,
7626.0,mjklemm/openmp-examples,C,git,https://github.com/mjklemm/openmp-examples.git,4.0,5261985,,,
4224.0,Dragon1573/Parallel-GMM,C,git,https://github.com/Dragon1573/Parallel-GMM.git,4.0,-3118015,,,
3210.0,KeyForce/Code-Performance-Optimization,C++,git,https://github.com/KeyForce/Code-Performance-Optimization.git,4.0,-6628015,,,
774.0,elena1905/ParallelIsingModel,C++,git,https://github.com/elena1905/ParallelIsingModel.git,4.0,-2747617,,,
5384.0,XiangRongLin/grayscale-conversion,C,git,https://github.com/XiangRongLin/grayscale-conversion.git,4.0,-438015,,,
226.0,jordanott/Neural-Network-Parallelization,C++,git,https://github.com/jordanott/Neural-Network-Parallelization.git,4.0,05.07.6889,,,
2319.0,mcyril/pmergesort,C,git,https://github.com/mcyril/pmergesort.git,4.0,10472383,,,
187.0,stilgar/Radix-Sort,C,git,https://github.com/stilgar/Radix-Sort.git,4.0,4122781,,,
6997.0,SameetAsadullah/Distributed-Password-Cracker-Using-MPI-and-OpenMP,C++,git,https://github.com/SameetAsadullah/Distributed-Password-Cracker-Using-MPI-and-OpenMP.git,4.0,20.11.4971,,,
1837.0,felixarpa/PAR-Lab,C,git,https://github.com/felixarpa/PAR-Lab.git,4.0,4062383,,,
6321.0,exaloop/openmp,C++,git,https://github.com/exaloop/openmp.git,4.0,3021985,,,
7371.0,sg0/neve,C++,git,https://github.com/sg0/neve.git,4.0,5891985,,,
6202.0,MediaBilly/Poisson-Equation-Parallel-Solver,C,git,https://github.com/MediaBilly/Poisson-Equation-Parallel-Solver.git,4.0,-2998015,,,
1154.0,brNX/gmapping-openmp,C++,git,https://github.com/brNX/gmapping-openmp.git,4.0,-8487617,,,
6342.0,Mahmoudadel17/Parallel_Processing_Using_MPI,C,git,https://github.com/Mahmoudadel17/Parallel_Processing_Using_MPI.git,4.0,17.11.9954,,,
7857.0,RahimACM/matrix-multiplication-optimization,C++,git,https://github.com/RahimACM/matrix-multiplication-optimization.git,4.0,4691985,,,
5551.0,seanzw/UCLA-CS33-Spring22-OpenMP,C,git,https://github.com/seanzw/UCLA-CS33-Spring22-OpenMP.git,4.0,-908015,,,
7603.0,openmpf/openmpf-contrib-components,C++,git,https://github.com/openmpf/openmpf-contrib-components.git,4.0,6101985,,,
2093.0,devreal/omp-tdb,C++,git,https://github.com/devreal/omp-tdb.git,4.0,12.05.8395,,,
1870.0,luizalvino/hybridmaxflow,C,git,https://github.com/luizalvino/hybridmaxflow.git,3.0,3912383,,,
8076.0,semyonf/sieve-of-eratosthenes,C++,git,https://github.com/semyonf/sieve-of-eratosthenes.git,3.0,3961985,,,
1641.0,paoloiannino/PFP-Growth,C++,git,https://github.com/paoloiannino/PFP-Growth.git,3.0,4972383,,,
8053.0,zhelih/rds-serial,C++,git,https://github.com/zhelih/rds-serial.git,3.0,4111985,,,
267.0,APwhitehat/openMP-IRC,C++,git,https://github.com/APwhitehat/openMP-IRC.git,3.0,08.09.6396,,,
5585.0,gurbaaz27/CS433A-Design-Exercises,C,git,https://github.com/gurbaaz27/CS433A-Design-Exercises.git,3.0,-1008015,,,
245.0,fogodev/radixmp,C,git,https://github.com/fogodev/radixmp.git,3.0,21.09.6615,,,
7250.0,RWTH-HPC/OTF-CPT,C++,git,https://github.com/RWTH-HPC/OTF-CPT.git,3.0,6141985,,,
