,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
5693.0,Areesha-Tahir/Password-Cracker-Using-Distributed-Systems-In-CPP,C++,git,https://github.com/Areesha-Tahir/Password-Cracker-Using-Distributed-Systems-In-CPP.git,8.0,-1328015,,,
1904.0,dimikout3/Parallel-BiCGSTAB-,C++,git,https://github.com/dimikout3/Parallel-BiCGSTAB-.git,8.0,3772383,,,
7122.0,unibas-dmi-hpc/LB4OMP,C++,git,https://github.com/unibas-dmi-hpc/LB4OMP.git,8.0,24.04.3630,,,
2045.0,miguelrochajr/ParallelProgramming,C,git,https://github.com/miguelrochajr/ParallelProgramming.git,8.0,21.05.9408,,,
1379.0,eozd/bnmf-algs,C++,git,https://github.com/eozd/bnmf-algs.git,8.0,6032383,,,
2656.0,hobywan/trinity,C++,git,https://github.com/hobywan/trinity.git,7.0,9242383,,,
7150.0,hal-lab-u-tokyo/CGRAOmp,C++,git,https://github.com/hal-lab-u-tokyo/CGRAOmp.git,7.0,25.11.3383,,,
5885.0,soanagno/sph-openmp,C++,git,https://github.com/soanagno/sph-openmp.git,7.0,-2038015,,,
3774.0,iwatake2222/FastGameOfLife,C,git,https://github.com/iwatake2222/FastGameOfLife.git,7.0,-8718015,,,
6663.0,Chang-LeHung/openmp-tutorial,C,git,https://github.com/Chang-LeHung/openmp-tutorial.git,7.0,28.08.7627,,,
3121.0,chizhang529/cme213,C++,git,https://github.com/chizhang529/cme213.git,7.0,7332383,,,
8018.0,pkestene/kokkos-proj-tmpl,C,git,https://github.com/pkestene/kokkos-proj-tmpl.git,7.0,4201985,,,
5475.0,jinaojakezhang/FEDFEMBioheatDeform,C++,git,https://github.com/jinaojakezhang/FEDFEMBioheatDeform.git,7.0,-708015,,,
514.0,herculeshcs/SYCL-OpenCL-OpenMP-Benchmark,C,git,https://github.com/herculeshcs/SYCL-OpenCL-OpenMP-Benchmark.git,7.0,17.03.2317,,,
2136.0,SnailWalkerYC/LeNet-5_Speed_Up,C,git,https://github.com/SnailWalkerYC/LeNet-5_Speed_Up.git,7.0,23.10.8066,,,
2817.0,carlotacb/PAR-Laboratoris,C,git,https://github.com/carlotacb/PAR-Laboratoris.git,6.0,8602383,,,
