,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
3857.0,soumyasen1809/Programming-for-Numerical-Computation,C,git,https://github.com/soumyasen1809/Programming-for-Numerical-Computation.git,10.0,-9038015,,,
4782.0,estsaon/parallel-programming-in-c-with-mpi-and-openmp,C,git,https://github.com/estsaon/parallel-programming-in-c-with-mpi-and-openmp.git,10.0,-5308015,,,
5147.0,dusanerdeljan/tensor-math-library,C++,git,https://github.com/dusanerdeljan/tensor-math-library.git,10.0,-6468015,,,
8100.0,ye-luo/openmp-target,C++,git,https://github.com/ye-luo/openmp-target.git,9.0,3861985,,,
3378.0,soumyasen1809/OpenMP_C_12_steps_to_Navier_Stokes,C,git,https://github.com/soumyasen1809/OpenMP_C_12_steps_to_Navier_Stokes.git,9.0,-7398015,,,
180.0,torbjoernk/openMP-Examples,C++,git,https://github.com/torbjoernk/openMP-Examples.git,9.0,4982781,,,
206.0,scotts/cellgen,C,git,https://github.com/scotts/cellgen.git,9.0,-957219,,,
5125.0,LLNL/AutoParBench,C,git,https://github.com/LLNL/AutoParBench.git,9.0,-6408015,,,
4181.0,nducthang/BFSParallel,C++,git,https://github.com/nducthang/BFSParallel.git,8.0,-10208015,,,
2883.0,ddemidov/fortran_amg_omp_ocl,C++,git,https://github.com/ddemidov/fortran_amg_omp_ocl.git,8.0,8332383,,,
4173.0,UP-RS-ESP/CorrCoef,C,git,https://github.com/UP-RS-ESP/CorrCoef.git,8.0,-10188015,,,
5517.0,SOLLVE/benchmarks,C,git,https://github.com/SOLLVE/benchmarks.git,8.0,-828015,,,
2010.0,PAC-P2P/BPNN-Face-Recognition-For-Parallel,C,git,https://github.com/PAC-P2P/BPNN-Face-Recognition-For-Parallel.git,8.0,2962383,,,
93.0,jedivind/barriersync,C,git,https://github.com/jedivind/barriersync.git,8.0,9342781,,,
1208.0,ihameed/openmpt,C,git,https://github.com/ihameed/openmpt.git,8.0,-9447617,,,
1963.0,LucaLovagnini/parallelHesaff,C++,git,https://github.com/LucaLovagnini/parallelHesaff.git,7.0,3352383,,,
7271.0,learning-process/parallel_programming_course,C++,git,https://github.com/learning-process/parallel_programming_course.git,7.0,6101985,,,
401.0,rpandya1990/Parallel-N-Body-Problem,C,git,https://github.com/rpandya1990/Parallel-N-Body-Problem.git,7.0,08.06.3850,,,
5412.0,sara-nl/prace_jacobi,C++,git,https://github.com/sara-nl/prace_jacobi.git,7.0,-538015,,,
5817.0,cspiegel/audacious-openmpt,C++,git,https://github.com/cspiegel/audacious-openmpt.git,7.0,-1798015,,,
7433.0,HydroCouple/HydroCouple,C++,git,https://github.com/HydroCouple/HydroCouple.git,7.0,5791985,,,
