,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert,use_cmake,DEFAULT_CMAKE_BUILDABLE
1379.0,eozd/bnmf-algs,C++,git,https://github.com/eozd/bnmf-algs.git,8.0,6032383,525a70d2b86dc0c762ea0362a81e4d1d734f631b,,,True,False
2656.0,hobywan/trinity,C++,git,https://github.com/hobywan/trinity.git,7.0,9242383,e8350057f9a0511ba910fe92b0e626d358952d27,,,True,False
7150.0,hal-lab-u-tokyo/CGRAOmp,C++,git,https://github.com/hal-lab-u-tokyo/CGRAOmp.git,7.0,25.11.3383,a367a3f7ee3c4f0e21af66fc69e6f1fe59785017,,,True,False
5885.0,soanagno/sph-openmp,C++,git,https://github.com/soanagno/sph-openmp.git,7.0,-2038015,65dcb537e69202b3a7f49460df8ec84036a69aea,,,False,False
3774.0,iwatake2222/FastGameOfLife,C,git,https://github.com/iwatake2222/FastGameOfLife.git,7.0,-8718015,2efeb56cb11f85ba405d41ccce0aee55d7268847,,,True,True
6663.0,Chang-LeHung/openmp-tutorial,C,git,https://github.com/Chang-LeHung/openmp-tutorial.git,7.0,28.08.7627,3b84343513a5ca98c6af082e24fae094a4754634,,,True,True
3121.0,chizhang529/cme213,C++,git,https://github.com/chizhang529/cme213.git,7.0,7332383,014dd5c2e1a8d46ef6d787a3a14ab2eb2c41460b,,,False,False
8018.0,pkestene/kokkos-proj-tmpl,C,git,https://github.com/pkestene/kokkos-proj-tmpl.git,7.0,4201985,d89178acc8936fb90b7a370f4fdd5941d7d6e591,,,True,False
5475.0,jinaojakezhang/FEDFEMBioheatDeform,C++,git,https://github.com/jinaojakezhang/FEDFEMBioheatDeform.git,7.0,-708015,e190b15a395c2e6d0702d9cb369ede4207519782,,,False,False
514.0,herculeshcs/SYCL-OpenCL-OpenMP-Benchmark,C,git,https://github.com/herculeshcs/SYCL-OpenCL-OpenMP-Benchmark.git,7.0,17.03.2317,7daad69e2a8087a9d493b4d4d722bb2f7c73436c,,,False,False
2136.0,SnailWalkerYC/LeNet-5_Speed_Up,C,git,https://github.com/SnailWalkerYC/LeNet-5_Speed_Up.git,7.0,23.10.8066,a8fd26c7abd4911a9d91dc2e85c3383296383ce4,,,False,False
2817.0,carlotacb/PAR-Laboratoris,C,git,https://github.com/carlotacb/PAR-Laboratoris.git,6.0,8602383,831533f086032df8a350a23f45ca1ce6bbe19759,,,False,False
6063.0,luanteylo/minicurso-OpenMP,C,git,https://github.com/luanteylo/minicurso-OpenMP.git,6.0,-2528015,cec8b498a914c993bfc0280d498fc00c6a490873,,,False,False
2022.0,cosmin-ionita/OpenMP-Game-Of-Life,C++,git,https://github.com/cosmin-ionita/OpenMP-Game-Of-Life.git,6.0,24.04.9764,807a502c33a7c9de43c0eb3e1302221a2dfa3702,,,False,False
1185.0,VaradPathak/TopicModeling,C++,git,https://github.com/VaradPathak/TopicModeling.git,6.0,-9027617,eb427a869731bc2667876d20eeb07bef4de00786,,,False,False
70.0,hi2p-perim/smallpt-mpi,C++,git,https://github.com/hi2p-perim/smallpt-mpi.git,6.0,10202781,14fa9ea5203ab057e03dba2149a39caf176b96ca,,,True,False
1737.0,mhassell/BEM,C++,git,https://github.com/mhassell/BEM.git,6.0,4462383,f8204135028a434faca88b8cb7017da8fc268222,,,False,False
1485.0,KeelyHill/Parallel-Sat-Swarm,C++,git,https://github.com/KeelyHill/Parallel-Sat-Swarm.git,6.0,5642383,a39e04cb14c251d8bb7acfd2883901c2a9dc9758,,,False,False
3349.0,zumrudu-anka/cpp-openmp-needleman-wunsch,C++,git,https://github.com/zumrudu-anka/cpp-openmp-needleman-wunsch.git,6.0,-7258015,18661acc2a2ef8963fff2354ae2a4db5b440b1c3,,,False,False
575.0,csteuer/ParallelBottomUpBalancedOctreeBuilder,C++,git,https://github.com/csteuer/ParallelBottomUpBalancedOctreeBuilder.git,6.0,-617617,0e5554c78cf921d5cb88790fdad9d39f89d62281,,,True,False
4596.0,alecjacobson/openmp-on-macos,C++,git,https://github.com/alecjacobson/openmp-on-macos.git,6.0,-4658015,77265b79b0fc01ca2c3c3655d77641989c476ad7,,,False,False
2204.0,deepaktabraham/Parallelizing-Minutiae-based-Fingerprint-Recognition,C++,git,https://github.com/deepaktabraham/Parallelizing-Minutiae-based-Fingerprint-Recognition.git,6.0,04.12.7135,0541332a61dd09b954f6d5fc6ea2d7b958c996e5,,,False,False
5707.0,hassansalehe/TaskSanitizer,C++,git,https://github.com/hassansalehe/TaskSanitizer.git,6.0,-1358015,a3d3b441dc1a46eea2f8f39976dbd7bd68570aa8,,,False,False
2436.0,javierip/parallel-processing-teaching-toolkit,C++,git,https://github.com/javierip/parallel-processing-teaching-toolkit.git,5.0,9902383,dd2339fbcab86365e24efa3d6cf01165e46fdbdd,,,False,False
7904.0,Padraig20/Global-Pair-Wise-Sequence-Alignment,C++,git,https://github.com/Padraig20/Global-Pair-Wise-Sequence-Alignment.git,5.0,4601985,d1bf5447a94912a1fd9a192c714fb4dfef1bcdb7,,,False,False
7042.0,arkaprabha10/Simplex-Algorithm,C++,git,https://github.com/arkaprabha10/Simplex-Algorithm.git,5.0,30.07.4588,dc4a4ab7af59c61ed402c66c12578c38dddbffac,,,False,False
